Title,Description,Usage,Price $,Price Som,Image
"
            Toyota Ipsum 2 поколение Минивэн , 2002 ","                                    Минивэн / Бус,                                        серебряный,                                        2.4 л.,                                        правый руль,                                        бензин,                                        автомат,                                        передний,                                    ",308000 км,8800$ ,739183 som,https://i.cars.kg/preview/r/_0QwQwqhs4-cFj-8UV1jGg/1080x-/20221103/a42f7f7ac75df07d1d084f6c0f7d563d.jpeg
"
            Toyota Estima 3 поколение Минивэн 5-дв. , 2008 ","                                    Минивэн / Бус,                                        белый жемчуг,                                        2.4 л.,                                        правый руль,                                        бензин,                                        вариатор,                                        передний,                                    ",106000 км,11300$ ,949179 som,https://i.cars.kg/preview/r/caE0Fx0ZwuPRy9ahD7X9ZQ/1080x-/20221104/722b33abb664278d292a5ed3b6ec0c82.jpeg
"
            Toyota Kluger XU20 Внедорожник , 2002 ","                                    Кроссовер,                                        серебряный,                                        2.4 л.,                                        левый руль,                                        бензин,                                        автомат,                                        постоянный полный,                                    ",161500 км,13200$ ,1108775 som,https://i.cars.kg/preview/r/RFUlkhyf9RfBHGlN5_0bBQ/1080x-/20221104/32ac98dbb001fff90660c54dbb8eec90.jpg
"
            Toyota Highlander 3 поколение Кроссовер , 2018 ","                                    Кроссовер,                                        черный,                                        3.5 л.,                                        левый руль,                                        гибрид,                                        автомат,                                        постоянный полный,                                    ",144500 км,41300$ ,3469122 som,https://i.cars.kg/preview/r/Hx36DOMPe2fpucaem1Nizg/1080x-/20221104/825376a796f7d95dd1afa4daf350a332.jpg
"
            Toyota Camry XV50 Седан 4-дв. , 2011 ","                                    Седан,                                                    2.5 л.,                                                    бензин,                                        автомат,                                        передний,                                    ",134000 км,13000$ ,1091975 som,https://i.cars.kg/preview/r/trFjfL0SAV1KuSBOvYcwyw/1080x-/20221103/58b65369d1b39dc015de0490f1ba1636.jpg
"
            Toyota Camry XV20 Седан 4-дв. , 1999 ","                                    Седан,                                        дипломат,                                        2.2 л.,                                        левый руль,                                        бензин,                                        автомат,                                        передний,                                    ",280000 км,4761$ ,399915 som,https://i.cars.kg/preview/r/Mv1wPbwZsztPMRZB63THGQ/1080x-/20221103/0dba94891eb107b6c94247dd174ab0c5.jpg
"
            Toyota Prius 4 поколение Хетчбэк , 2016 ","                                    Хэтчбек,                                        белый жемчуг,                                        1.8 л.,                                        левый руль,                                        гибрид,                                        вариатор,                                        передний,                                    ",169000 км,17000$ ,1427968 som,https://i.cars.kg/preview/r/dFE6YzXn-QMD2is0fzyP3A/1080x-/20221103/4c912ea730f612bc5b603896f6b9172b.jpg
"
            Toyota Land Cruiser Prado J150 [рестайлинг] Внедорожник , 2016 ","                                    Внедорожник / Пикап,                                        белый,                                        4 л.,                                        левый руль,                                        бензин,                                        автомат,                                        постоянный полный,                                    ",150000 км,47000$ ,3947911 som,https://i.cars.kg/preview/r/FLeRg4MXlvCBKk6K2xkwPg/1080x-/20221102/f9892ddcee151f88e4cafb6f0278c8af.jpg
"
            Toyota RAV4 4 поколение Кроссовер , 2021 ","                                    Кроссовер,                                        черный,                                        2.5 л.,                                                    бензин,                                        автомат,                                        полный подключаемый,                                    ",22000 км,33000$ ,2771937 som,https://i.cars.kg/preview/r/u1H2YgyroYG3ZRFqzQYmvw/1080x-/20221102/9a74a3f0c6857ac6cdbf091032a3fec9.jpg
"
            Toyota Camry XV50 [рестайлинг] Седан , 2019 ","                                    Седан,                                        белый,                                        2.5 л.,                                        левый руль,                                        бензин,                                        автомат,                                        передний,                                    ",70000 км,28500$ ,2393946 som,https://i.cars.kg/preview/r/CYJmUVFraDM0nio9XUBEug/1080x-/20221102/b9ea35b2de08ba506f60f9cd9c764336.jpg
